date,adj_close,vol
2021-04-01 00:00:00-04:00,23.86,25956200
2021-04-05 00:00:00-04:00,24.23,33657000
2021-04-06 00:00:00-04:00,24.06,31099400
2021-04-07 00:00:00-04:00,23.93,27792500
2021-04-08 00:00:00-04:00,23.65,28606600
2021-04-09 00:00:00-04:00,23.54,21307700
2021-04-12 00:00:00-04:00,22.91,27165700
2021-04-13 00:00:00-04:00,22.56,44741600
2021-04-14 00:00:00-04:00,22.37,33969600
2021-04-15 00:00:00-04:00,22.13,34424100
2021-04-16 00:00:00-04:00,22.03,25958000
2021-04-19 00:00:00-04:00,21.55,27424900
2021-04-20 00:00:00-04:00,20.37,48820800
2021-04-21 00:00:00-04:00,21.01,49376400
2021-04-22 00:00:00-04:00,20.07,72635100
2021-04-23 00:00:00-04:00,21.11,47995300
2021-04-26 00:00:00-04:00,22.04,44349200
2021-04-27 00:00:00-04:00,21.76,26767100
2021-04-28 00:00:00-04:00,21.7,22572100
2021-04-29 00:00:00-04:00,21.3,34430900
2021-04-30 00:00:00-04:00,21.72,31608800
2021-05-03 00:00:00-04:00,21.95,27606100
2021-05-04 00:00:00-04:00,21.42,36050800
2021-05-05 00:00:00-04:00,21.57,27984800
2021-05-06 00:00:00-04:00,21.49,25632600
2021-05-07 00:00:00-04:00,22.0,32022900
2021-05-10 00:00:00-04:00,22.0,32570000
2021-05-11 00:00:00-04:00,21.57,37417800
2021-05-12 00:00:00-04:00,20.76,34605300
2021-05-13 00:00:00-04:00,21.21,35238700
2021-05-14 00:00:00-04:00,22.4,39182500
2021-05-17 00:00:00-04:00,23.35,40716100
2021-05-18 00:00:00-04:00,23.56,38662400
2021-05-19 00:00:00-04:00,22.97,34558200
2021-05-20 00:00:00-04:00,22.6,33606500
2021-05-21 00:00:00-04:00,22.57,26246500
2021-05-24 00:00:00-04:00,22.99,26159300
2021-05-25 00:00:00-04:00,23.21,50630500
2021-05-26 00:00:00-04:00,23.9,29812700
2021-05-27 00:00:00-04:00,24.43,36389500
2021-05-28 00:00:00-04:00,24.24,30594400
2021-06-01 00:00:00-04:00,24.67,36502400
2021-06-02 00:00:00-04:00,25.82,57686200
2021-06-03 00:00:00-04:00,24.93,38254900
2021-06-04 00:00:00-04:00,24.3,28977300
2021-06-07 00:00:00-04:00,24.25,21173200
2021-06-08 00:00:00-04:00,24.22,26105600
2021-06-09 00:00:00-04:00,23.85,20289000
2021-06-10 00:00:00-04:00,23.46,28988300
2021-06-11 00:00:00-04:00,23.53,24368000
2021-06-14 00:00:00-04:00,22.99,22613100
2021-06-15 00:00:00-04:00,22.79,19062200
2021-06-16 00:00:00-04:00,22.83,20296900
2021-06-17 00:00:00-04:00,22.23,32879100
2021-06-18 00:00:00-04:00,22.29,28009900
2021-06-21 00:00:00-04:00,22.45,26666200
2021-06-22 00:00:00-04:00,22.11,22745000
2021-06-23 00:00:00-04:00,22.2,17394700
2021-06-24 00:00:00-04:00,22.35,22667500
2021-06-25 00:00:00-04:00,22.22,18738600
2021-06-28 00:00:00-04:00,21.39,48437800
2021-06-29 00:00:00-04:00,21.08,29157400
2021-06-30 00:00:00-04:00,21.21,26231800
2021-07-01 00:00:00-04:00,21.51,22082700
2021-07-02 00:00:00-04:00,21.48,20814100
2021-07-06 00:00:00-04:00,21.01,24176500
2021-07-07 00:00:00-04:00,20.31,30857000
2021-07-08 00:00:00-04:00,20.35,28539300
2021-07-09 00:00:00-04:00,20.89,21730900
2021-07-12 00:00:00-04:00,20.84,20782200
2021-07-13 00:00:00-04:00,20.02,30951500
2021-07-14 00:00:00-04:00,20.62,55139500
2021-07-15 00:00:00-04:00,20.46,34187500
2021-07-16 00:00:00-04:00,19.79,34523500
2021-07-19 00:00:00-04:00,18.97,63985800
2021-07-20 00:00:00-04:00,20.56,46295400
2021-07-21 00:00:00-04:00,21.4,52282600
2021-07-22 00:00:00-04:00,21.16,39028300
2021-07-23 00:00:00-04:00,21.2,29379200
2021-07-26 00:00:00-04:00,22.08,31508800
2021-07-27 00:00:00-04:00,21.46,30301300
2021-07-28 00:00:00-04:00,21.63,20077400
2021-07-29 00:00:00-04:00,21.17,19391300
2021-07-30 00:00:00-04:00,20.38,31284000
2021-08-02 00:00:00-04:00,20.06,27151300
2021-08-03 00:00:00-04:00,19.95,36572600
2021-08-04 00:00:00-04:00,19.45,30815400
2021-08-05 00:00:00-04:00,20.91,42900900
2021-08-06 00:00:00-04:00,21.02,28281000
2021-08-09 00:00:00-04:00,20.56,32047600
2021-08-10 00:00:00-04:00,20.94,31320900
2021-08-11 00:00:00-04:00,21.23,39902300
2021-08-12 00:00:00-04:00,20.43,30369400
2021-08-13 00:00:00-04:00,19.84,30877500
2021-08-16 00:00:00-04:00,19.76,25610400
2021-08-17 00:00:00-04:00,19.34,23686100
2021-08-18 00:00:00-04:00,19.14,24479500
